symbol,rank,sector,industry
BLVDU,-1,Boulevard Acquisition Corp.,Finance,Business Services
BLVDW,-1,Boulevard Acquisition Corp.,Finance,Business Services
XLRN,3,Acceleron Pharma Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
LRAD,0,LRAD Corporation,Consumer Non-Durables,Consumer Electronics/Appliances
CSBK,0,Clifton Bancorp Inc.,Finance,Savings Institutions
CKSW,3,ClickSoftware Technologies Ltd.,Technology,Computer Software: Prepackaged Software
LORL,0,Loral Space and Communications Inc.,Technology,Radio And Television Broadcasting And Communications Equipment
AFB,-1,Alliance National Municipal Income Fund Inc,n/a,n/a
FSTM,-1,FusionStorm Global Inc.,n/a,n/a
FSTR,2,L.B. Foster Company,Basic Industries,Metal Fabrications
NQ,0,NQ Mobile Inc.,Technology,Computer Software: Prepackaged Software
EGLT,3,Egalet Corporation,Health Care,Major Pharmaceuticals
MNGA,0,MagneGas Corporation,Technology,Industrial Machinery/Components
SCHL,4,Scholastic Corporation,Consumer Services,Books
ENPH,2,Enphase Energy Inc.,Technology,Semiconductors
ANET,3,Arista Networks Inc.,Technology,Computer Communications Equipment
DANG,3,E-Commerce China Dangdang Inc.,Consumer Services,Other Specialty Stores
GBR,0,New Concept Energy Inc,Energy,Oil & Gas Production
EGLE,0,Eagle Bulk Shipping Inc.,Transportation,Marine Transportation
OGXI,3,OncoGenex Pharmaceuticals Inc.,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ATNM,0,Actinium Pharmaceuticals Inc.,Health Care,Major Pharmaceuticals
CVTI,1,Covenant Transportation Group Inc.,Transportation,Trucking Freight/Courier Services
SSRG,0,Symmetry Surgical Inc.,n/a,n/a
ISBC,3,Investors Bancorp Inc.,Finance,Savings Institutions
AEH,-1,Aegon NV,Finance,Life Insurance
AEO,3,American Eagle Outfitters Inc.,Consumer Services,Clothing/Shoe/Accessory Stores
CYAN,0,Cyanotech Corporation,Consumer Durables,Specialty Chemicals
PTBI,0,PlasmaTech Biopharmaceuticals Inc.,n/a,n/a
VTTI,3,VTTI Energy Partners LP,Energy,Oil Refining/Marketing
COF/WS,-1,Capital One Financial Corporation,n/a,n/a
NWPX,5,Northwest Pipe Company,Basic Industries,Steel/Iron Ore
BDSI,4,BioDelivery Sciences International Inc.,Health Care,Major Pharmaceuticals
PKOH,3,Park-Ohio Holdings Corp.,Capital Goods,Industrial Specialties
GSAT,0,Globalstar Inc.,Consumer Services,Telecommunications Equipment
BSTC,0,BioSpecifics Technologies Corp,Health Care,Major Pharmaceuticals
LACO,0,Lakes Entertainment Inc.,Consumer Services,Services-Misc. Amusement & Recreation
IOSP,3,Innospec Inc.,Basic Industries,Major Chemicals
VNDA,0,Vanda Pharmaceuticals Inc.,Health Care,Major Pharmaceuticals
VNO,1,Vornado Realty Trust,Consumer Services,Real Estate Investment Trusts
VNR,3,Vanguard Natural Resources LLC,Energy,Oil & Gas Production
TZF,-1,Bear Stearns Depositor Inc.,Finance,Finance: Consumer Services
MYRG,3,MYR Group Inc.,Basic Industries,Water Supply
SONA,3,Southern National Bancorp of Virginia Inc.,Finance,Major Banks
SONC,2,Sonic Corp.,Consumer Services,Restaurants
MBCN,0,Middlefield Banc Corp.,Finance,Major Banks
TILE,3,Interface Inc.,Consumer Durables,Home Furnishings
HOMB,3,Home BancShares Inc.,Finance,Major Banks
SONS,3,Sonus Networks Inc.,Technology,EDP Services
TMHC,3,Taylor Morrison Home Corporation,Capital Goods,Homebuilding
USBI,0,United Security Bancshares Inc.,Finance,Major Banks
KMPR,4,Kemper Corporation,Finance,Property-Casualty Insurers
KMPA,-1,Kemper Corporation,Finance,Property-Casualty Insurers
AFMD,3,Affimed N.V.,Health Care,Major Pharmaceuticals
RATE,3,Bankrate Inc.,Miscellaneous,Business Services
LWAY,4,Lifeway Foods Inc.,Consumer Non-Durables,Packaged Foods
AGND,0,WisdomTree Barclays U.S. Aggregate Bond Negative Duration Fund,n/a,n/a
JSN,-1,Nuveen Equity Premium Opportunity Fund,n/a,n/a
MKSI,3,MKS Instruments Inc.,Capital Goods,Industrial Machinery/Components
S,3,Sprint Corporation,Public Utilities,Telecommunications Equipment
UNIS,3,Unilife Corporation,Health Care,Medical/Dental Instruments
BRK/A,-1,Berkshire Hathaway Inc.,Finance,Property-Casualty Insurers
RITTW,-1,RIT Technologies Ltd.,Consumer Durables,Telecommunications Equipment
USG,1,USG Corporation,Capital Goods,Building Materials
NDLS,2,Noodles & Company,Consumer Services,Restaurants
CMRX,3,Chimerix Inc.,Health Care,Major Pharmaceuticals
PNTA,-1,PennantPark Investment Corporation,n/a,n/a
SKH,2,Skilled Healthcare Group Inc.,Health Care,Hospital/Nursing Management
FNHC,1,Federated National Holding Company,Finance,Property-Casualty Insurers
UMC,2,United Microelectronics Corporation,Technology,Semiconductors
CMRE,3,Costamare Inc.,Transportation,Marine Transportation
PNTR,3,Pointer Telocation Ltd.,Technology,Radio And Television Broadcasting And Communications Equipment
UMH,0,UMH Properties Inc.,Consumer Services,Real Estate Investment Trusts
OLN,1,Olin Corporation,Basic Industries,Major Chemicals
OLP,0,One Liberty Properties Inc.,Consumer Services,Real Estate Investment Trusts
JKHY,3,Jack Henry & Associates Inc.,Technology,EDP Services
VLY/WS,-1,Valley National Bancorp,n/a,n/a
SMTX,0,SMTC Corporation,Technology,Electrical Products
OCLS,3,Oculus Innovative Sciences Inc.,Health Care,Medical/Dental Instruments
IRET,2,Investors Real Estate Trust,Consumer Services,Real Estate Investment Trusts
EXAC,3,Exactech Inc.,Health Care,Industrial Specialties
SMTP,3,SMTP Inc.,Technology,Advertising
SMTH,-1,Smith Electric Vehicles Corp.,n/a,n/a
BLDR,3,Builders FirstSource Inc.,Consumer Services,RETAIL: Building Materials
EXAR,3,Exar Corporation,Technology,Semiconductors
EXAS,3,EXACT Sciences Corporation,Health Care,Biotechnology: Commercial Physical & Biological Resarch
HCKT,3,The Hackett Group Inc.,Consumer Services,Professional Services
SMTC,4,Semtech Corporation,Technology,Semiconductors
RAX,3,Rackspace Hosting Inc,Technology,Computer Software: Programming Data Processing
SAPE,3,Sapient Corporation,Technology,EDP Services
VCLT,3,Vanguard Long-Term Corporate Bond ETF,n/a,n/a
MTGEP,-1,American Capital Mortgage Investment Corp.,Consumer Services,Real Estate Investment Trusts
NECB,0,Northeast Community Bancorp Inc.,Finance,Savings Institutions
TBNK,3,Territorial Bancorp Inc.,Finance,Savings Institutions
CYCC,0,Cyclacel Pharmaceuticals Inc.,Health Care,Major Pharmaceuticals
NEFF,3,Neff Corporation,n/a,n/a
MBI,0,MBIA Inc.,Finance,Property-Casualty Insurers
GAS,4,AGL Resources Inc.,Public Utilities,Oil/Gas Transmission
SOL,4,Renesola Ltd.,Technology,Semiconductors
SON,3,Sonoco Products Company,Consumer Durables,Containers/Packaging
CNOB,3,ConnectOne Bancorp Inc.,n/a,n/a
GAM,0,General American Investors Inc.,n/a,n/a
SOR,0,Source Capital Inc.,n/a,n/a
GAI,0,Global-Tech Advanced Innovations Inc.,Consumer Durables,Home Furnishings
MBT,5,Mobile TeleSystems OJSC,Public Utilities,Telecommunications Equipment
TZOO,3,Travelzoo Inc.,Technology,EDP Services
GAB,0,Gabelli Equity Trust Inc. (The),n/a,n/a
JCP,2,J.C. Penney Company Inc. Holding Company,Consumer Services,Department/Specialty Retail Stores
BBRY,2,BlackBerry Limited,Public Utilities,Telecommunications Equipment
JCE,0,Nuveen Core Equity Alpha Fund,n/a,n/a
ESLT,0,Elbit Systems Ltd.,Capital Goods,Military/Government/Technical
BBRG,2,Bravo Brio Restaurant Group Inc.,Consumer Services,Restaurants
JCI,3,Johnson Controls Inc.,Consumer Durables,Industrial Specialties
SWFT,2,Swift Transportation Company,Transportation,Trucking Freight/Courier Services
KMG,3,KMG Chemicals Inc.,Basic Industries,Major Chemicals
KMB,3,Kimberly-Clark Corporation,Consumer Durables,Containers/Packaging
RLOG,3,Rand Logistics Inc.,Consumer Services,Marine Transportation
QTNT,2,Quotient Limited,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
RLOC,3,ReachLocal Inc.,Technology,Advertising
KHI,0,Scudder High Income Trust,n/a,n/a
HSII,3,Heidrick & Struggles International Inc.,Technology,Diversified Commercial Services
KMM,0,Scudder Multi-Market Income Trust,n/a,n/a
HSIC,3,Henry Schein Inc.,Health Care,Medical Specialities
NXQ,0,Nuveen Select Tax Free Income Portfolio II,n/a,n/a
NXP,0,Nuveen Select Tax Free Income Portfolio,n/a,n/a
NXR,0,Nuveen Select Tax Free Income Portfolio III,n/a,n/a
ORRF,2,Orrstown Financial Services Inc,Finance,Major Banks
NXC,0,Nuveen Insured California Select Tax-Free Income Portfolio,n/a,n/a
NXN,0,Nuveen Insured New York Select Tax-Free Income Portfolio,n/a,n/a
NXK,-1,Nuveen New York Dividend Advantage Municipal Fund 2,n/a,n/a
NXJ,-1,Nuveen New Jersey Dividend Advantage Municipal Fund,n/a,n/a
CINF,4,Cincinnati Financial Corporation,Finance,Property-Casualty Insurers
SCON,3,Superconductor Technologies Inc.,Technology,Radio And Television Broadcasting And Communications Equipment
TREC,2,Trecora Resources,Energy,Integrated oil Companies
BVX,0,Bovie Medical Corporation,Health Care,Medical/Dental Instruments
TREE,3,Tree.com Inc.,Finance,Finance: Consumer Services
PRAA,4,PRA Group Inc.,Finance,Finance: Consumer Services
TREX,3,Trex Company Inc.,Basic Industries,Forest Products
BVA,0,Cordia Bancorp Inc.,n/a,n/a
SCOR,2,comScore Inc.,Miscellaneous,Business Services
GSBC,2,Great Southern Bancorp Inc.,Finance,Major Banks
PRAH,3,PRA Health Sciences Inc.,Health Care,Biotechnology: Commercial Physical & Biological Resarch
BVN,3,Buenaventura Mining Company Inc.,Basic Industries,Precious Metals
PRAN,0,Prana Biotechnology Ltd,Health Care,Major Pharmaceuticals
ARGS,3,Argos Therapeutics Inc.,Health Care,Major Pharmaceuticals
WPRT,3,Westport Innovations Inc,Energy,Industrial Machinery/Components
KING,3,King Digital Entertainment plc,Technology,Computer Software: Prepackaged Software
ICFI,3,ICF International Inc.,Consumer Services,Professional Services
IDRA,0,Idera Pharmaceuticals Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
WLRHU,-1,WL Ross Holding Corp.,Finance,Business Services
WLRHW,-1,WL Ross Holding Corp.,Finance,Business Services
SLMAP,-1,SLM Corporation,Finance,Finance: Consumer Services
OSK,2,Oshkosh Corporation,Capital Goods,Auto Manufacturing
OSM,-1,SLM Corporation,Finance,Finance: Consumer Services
KINS,0,Kingstone Companies Inc,Finance,Property-Casualty Insurers
OSN,0,Ossen Innovation Co. Ltd.,Basic Industries,Steel/Iron Ore
KMX,1,CarMax Inc,Consumer Durables,Automotive Aftermarket
CPAH,3,CounterPath Corporation,Technology,Computer Software: Prepackaged Software
CPAC,3,Cementos Pacasmayo S.A.A.,Capital Goods,Building Materials
LRE,3,LRR Energy L.P.,Energy,Oil & Gas Production
TSYS,3,TeleCommunication Systems Inc.,Technology,Computer Software: Prepackaged Software
LRN,3,K12 Inc,Consumer Services,Other Consumer Services
MDLZ,4,Mondelez International Inc.,Consumer Non-Durables,Packaged Foods
MDLY,3,Medley Management Inc.,Finance,Investment Managers
FBIZ,3,First Business Financial Services Inc.,Finance,Major Banks
GMCR,2,Keurig Green Mountain Inc.,Consumer Non-Durables,Packaged Foods
VRX,2,Valeant Pharmaceuticals International Inc.,Health Care,Major Pharmaceuticals
NOK,3,Nokia Corporation,Technology,Radio And Television Broadcasting And Communications Equipment
FAST,3,Fastenal Company,Consumer Services,RETAIL: Building Materials
GRAM,3,Grana y Montero S.A.A.,Basic Industries,Military/Government/Technical
CAKE,3,The Cheesecake Factory Incorporated,Consumer Services,Restaurants
SIEB,0,Siebert Financial Corp.,Finance,Investment Bankers/Brokers/Service
YNDX,4,Yandex N.V.,Technology,Computer Software: Programming Data Processing
CUR,3,Neuralstem Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CUZ,3,Cousins Properties Incorporated,Consumer Services,Real Estate Investment Trusts
TMST,5,Timken Steel Corporation,Basic Industries,Steel/Iron Ore
CUB,3,Cubic Corporation,Capital Goods,Industrial Machinery/Components
CUO,0,Continental Materials Corporation,Capital Goods,Building Materials
CUK,0,Carnival Corporation,Consumer Services,Marine Transportation
CUI,3,CUI Global Inc.,Consumer Non-Durables,Electronic Components
CXDC,0,China XD Plastics Company Limited,Capital Goods,Containers/Packaging
WTFCW,-1,Wintrust Financial Corporation,Finance,Major Banks
CATM,3,Cardtronics Inc.,Miscellaneous,Business Services
HTHT,3,China Lodging Group Limited,Consumer Services,Hotels/Resorts
HKTV,0,Hong Kong Television Network Limited,Public Utilities,Telecommunications Equipment
NOG,4,Northern Oil and Gas Inc.,Energy,Oil & Gas Production
MCEP,4,Mid-Con Energy Partners LP,Energy,Oil & Gas Production
MVCB,-1,MVC Capital Inc.,n/a,n/a
JYNT,3,The Joint Corp.,Miscellaneous,Multi-Sector Companies
PSBH,-1,PSB Holdings Inc.,Finance,Savings Institutions
TWER,2,Towerstream Corporation,Consumer Services,Telecommunications Equipment
ANCI,0,American Caresource Holdings Inc,Health Care,Hospital/Nursing Management
CEA,3,China Eastern Airlines Corporation Ltd.,Transportation,Air Freight/Delivery Services
ANCB,2,Anchor Bancorp,Finance,Banks
ANCX,3,Access National Corporation,Finance,Savings Institutions
ENVI,4,Envivio Inc.,Technology,Radio And Television Broadcasting And Communications Equipment
ENVA,4,Enova International Inc.,Finance,Finance: Consumer Services
CEM,-1,ClearBridge Energy MLP Fund Inc.,n/a,n/a
ISDR,0,Issuer Direct Corporation,Miscellaneous,Publishing
PKY,3,Parkway Properties Inc.,Consumer Services,Real Estate Investment Trusts
BOCH,3,Bank of Commerce Holdings (CA),Finance,Major Banks
BOCA,-1,Banc of California Inc.,Finance,Major Banks
CEV,0,Eaton Vance California Municipal Income Trust,n/a,n/a
TCAP,4,Triangle Capital Corporation,n/a,n/a
GT,3,The Goodyear Tire & Rubber Company,Consumer Durables,Automotive Aftermarket
GS,3,Goldman Sachs Group Inc. (The),Finance,Investment Bankers/Brokers/Service
GY,3,GenCorp Inc.,Basic Industries,Specialty Chemicals
GG,3,Goldcorp Inc.,Basic Industries,Precious Metals
GF,0,New Germany Fund Inc. (The),n/a,n/a
GE,3,General Electric Company,Energy,Consumer Electronics/Appliances
GD,3,General Dynamics Corporation,Capital Goods,Marine Transportation
OSBCP,-1,Old Second Bancorp Inc.,Finance,Major Banks
RDWR,3,Radware Ltd.,Miscellaneous,Business Services
GM,3,General Motors Company,Capital Goods,Auto Manufacturing
GK,2,G&K Services Inc.,Consumer Services,Other Consumer Services
AXAS,4,Abraxas Petroleum Corporation,Energy,Oil & Gas Production
EBMT,3,Eagle Bancorp Montana Inc.,Finance,Savings Institutions
AMCO,0,Armco Metals Holdings Inc.,Consumer Durables,Steel/Iron Ore
AMCN,3,AirMedia Group Inc,Technology,Advertising
AMCF,0,Andatee China Marine Fuel Services Corporation,Energy,Oil Refining/Marketing
AMCC,3,Applied Micro Circuits Corporation,Technology,Semiconductors
JBSS,0,John B. Sanfilippo & Son Inc.,Consumer Non-Durables,Specialty Foods
TOPS,0,TOP Ships Inc.,Transportation,Marine Transportation
BSRR,3,Sierra Bancorp,Finance,Major Banks
VLO,3,Valero Energy Corporation,Energy,Integrated oil Companies
MPLX,2,MPLX LP,Energy,Natural Gas Distribution
TTS,3,Tile Shop Hldgs Inc.,Consumer Services,Home Furnishings
TTP,-1,Tortoise Pipeline & Energy Fund Inc.,n/a,n/a
WWWW,3,Web.com Group Inc.,Technology,Computer Software: Prepackaged Software
TTI,4,Tetra Technologies Inc.,Energy,Oil & Gas Production
TTM,4,Tata Motors Ltd,Capital Goods,Auto Manufacturing
TTC,1,Toro Company (The),Capital Goods,Tools/Hardware
VLP,2,Valero Energy Partners LP,Energy,Natural Gas Distribution
VLT,0,Invesco High Income Trust II,n/a,n/a
PFIE,3,Profire Energy Inc.,Energy,Metal Fabrications
ZN,0,Zion Oil & Gas Inc,Energy,Oil & Gas Production
USLV,0,VelocityShares 3x Long Silver ETN linked to the S&P GSCI Silve,Finance,Investment Bankers/Brokers/Service
PFIN,0,P & F Industries Inc.,Technology,Industrial Machinery/Components
ZA,0,Zuoan Fashion Limited,Consumer Non-Durables,Apparel
USLM,0,United States Lime & Minerals Inc.,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
ZX,0,China Zenix Auto International Limited,Capital Goods,Auto Parts:O.E.M.
ARCPP,-1,American Realty Capital Properties Inc.,Consumer Services,Real Estate Investment Trusts
PFIS,0,Peoples Financial Services Corp. ,Finance,Major Banks
ZU,3,zulily inc.,Consumer Services,Catalog/Specialty Distribution
WOR,5,Worthington Industries Inc.,Capital Goods,Steel/Iron Ore
GARS,2,Garrison Capital Inc.,n/a,n/a
CADTW,-1,DT Asia Investments Limited,Finance,Business Services
APDN,2,Applied DNA Sciences Inc,Consumer Services,Other Consumer Services
PBMD,0,Prima BioMed Ltd,Health Care,Major Pharmaceuticals
RAVN,0,Raven Industries Inc.,Capital Goods,Specialty Chemicals
LBAI,3,Lakeland Bancorp Inc.,Finance,Major Banks
CCBG,2,Capital City Bank Group,Finance,Major Banks
AIG/WS,-1,American International Group Inc.,n/a,n/a
VSEC,1,VSE Corporation,Consumer Services,Military/Government/Technical
ATEA,0,Astea International Inc.,Technology,Computer Software: Prepackaged Software
ATEC,3,Alphatec Holdings Inc.,Health Care,Medical/Dental Instruments
ATEN,4,A10 Networks Inc.,Technology,Computer Communications Equipment
DOVR,0,Dover Saddlery Inc.,Consumer Services,Other Specialty Stores
FNJN,3,Finjan Holdings Inc.,Basic Industries,Agricultural Chemicals
GBLI,0,Global Indemnity plc,Finance,Property-Casualty Insurers
ONB,2,Old National Bancorp,Finance,Major Banks
ONE,3,Higher One Holdings Inc.,Miscellaneous,Business Services
IID,-1,Voya International High Dividend Equity Income Fund,n/a,n/a
IIF,0,Morgan Stanley India Investment Fund Inc.,n/a,n/a
IIM,0,Invesco Value Municipal Income Trust,n/a,n/a
ONP,0,Orient Paper Inc.,Consumer Durables,Containers/Packaging
IIN,0,IntriCon Corporation,Capital Goods,Electrical Products
III,2,Information Services Group Inc.,Consumer Services,Professional Services
TEG,4,Integrys Energy Group,Public Utilities,Power Generation
EXCU,-1,Exelon Corporation,Public Utilities,Power Generation
FORM,3,FormFactor Inc.,Technology,Semiconductors
NTWK,3,NetSol Technologies Inc.,Technology,Computer Software: Prepackaged Software
STNR,3,Steiner Leisure Limited,Consumer Services,Other Consumer Services
FORD,0,Forward Industries Inc.,Consumer Non-Durables,Plastic Products
RDHL,3,Redhill Biopharma Ltd.,Health Care,Major Pharmaceuticals
UBFO,0,United Security Bancshares,Finance,Major Banks
FORR,3,Forrester Research Inc.,Consumer Services,Diversified Commercial Services
EZPW,3,EZCORP Inc.,Consumer Services,Other Specialty Stores
HMIN,0,Homeinns Hotel Group,Consumer Services,Hotels/Resorts
OLBK,3,Old Line Bancshares Inc.,Finance,Major Banks
SYBT,3,Stock Yards Bancorp Inc.,Finance,Major Banks
QRM,0,Quest Rare Minerals Ltd,Basic Industries,Precious Metals
MSBF,0,MSB Financial Corp.,Finance,Savings Institutions
GIII,1,G-III Apparel Group LTD.,Consumer Non-Durables,Apparel
RCPI,0,Rock Creek Pharmaceuticals Inc.,Consumer Durables,Specialty Chemicals
HFWA,3,Heritage Financial Corporation,Finance,Banks
SAH,2,Sonic Automotive Inc.,Consumer Durables,Automotive Aftermarket
SAN,3,Banco Santander S.A.,n/a,n/a
SAM,1,Boston Beer Company Inc. (The),Consumer Non-Durables,Beverages (Production/Distribution)
SAL,0,Salisbury Bancorp Inc.,Finance,Savings Institutions
XENT,2,Intersect ENT Inc.,Health Care,Medical/Dental Instruments
ACMP,3,Access Midstream Partmers L.P.,Public Utilities,Natural Gas Distribution
RXDX,3,Ignyta Inc.,Health Care,Major Pharmaceuticals
SAR,1,Saratoga Investment Corp,n/a,n/a
XENE,3,Xenon Pharmaceuticals Inc.,Health Care,Major Pharmaceuticals
SAP,4,SAP SE,Technology,Computer Software: Prepackaged Software
RCPT,3,Receptos Inc.,Health Care,Major Pharmaceuticals
CHA,4,China Telecom Corp Ltd,Public Utilities,Telecommunications Equipment
CHD,3,Church & Dwight Company Inc.,Basic Industries,Package Goods/Cosmetics
CHE,3,Chemed Corp.,Health Care,Medical/Nursing Services
CHH,1,Choice Hotels International Inc.,Consumer Services,Hotels/Resorts
CHI,0,Calamos Convertible Opportunities and Income Fund,n/a,n/a
CHK,3,Chesapeake Energy Corporation,Energy,Oil & Gas Production
CHL,4,China Mobile (Hong Kong) Ltd.,Public Utilities,Telecommunications Equipment
CHN,-1,China Fund Inc. (The),n/a,n/a
FELP,2,Foresight Energy LP,Energy,Coal Mining
ASBB,0,ASB Bancorp Inc.,Finance,Savings Institutions
ASBC,-1,Associated Banc-Corp,Finance,Major Banks
CHS,3,Chico&#39;s FAS Inc.,Consumer Services,Clothing/Shoe/Accessory Stores
CHT,3,Chunghwa Telecom Co. Ltd.,Public Utilities,Telecommunications Equipment
CHU,3,China Unicom (Hong Kong) Ltd,Public Utilities,Telecommunications Equipment
JAH,3,Jarden Corporation,Consumer Durables,Consumer Specialties
CHW,-1,Calamos Global Dynamic Income Fund,n/a,n/a
CHY,0,Calamos Convertible and High Income Fund,n/a,n/a
FELE,4,Franklin Electric Co. Inc.,Consumer Durables,Metal Fabrications
ASBI,0,Ameriana Bancorp,Finance,Savings Institutions
ESNT,4,Essent Group Ltd.,Finance,Property-Casualty Insurers
DBL,-1,DoubleLine Opportunistic Credit Fund,n/a,n/a
PESI,2,Perma-Fix Environmental Services Inc.,Basic Industries,Environmental Services
DBD,3,Diebold Incorporated,Miscellaneous,Office Equipment/Supplies/Services
CHSCP,0,CHS Inc,Consumer Services,Farming/Seeds/Milling
WSCI,0,WSI Industries Inc.,Technology,Industrial Machinery/Components
CHSCM,-1,CHS Inc,Consumer Services,Farming/Seeds/Milling
CHSCN,-1,CHS Inc,Consumer Services,Farming/Seeds/Milling
CHSCO,-1,CHS Inc,Consumer Services,Farming/Seeds/Milling
EWBC,3,East West Bancorp Inc.,Finance,Major Banks
PTEN,3,Patterson-UTI Energy Inc.,Energy,Oil & Gas Production
OBAS,0,Optibase Ltd.,Finance,Real Estate
TCFC,3,The Community Financial Corporation,Finance,Major Banks
HSKA,2,Heska Corporation,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
GCA,3,Global Cash Access Holdings Inc.,Finance,Finance: Consumer Services
AFM,-1,Affiliated Managers Group Inc.,Finance,Investment Managers
AFH,4,Atlas Financial Holdings Inc.,Finance,Property-Casualty Insurers
GCI,3,Gannett Co. Inc.,Consumer Services,Newspapers/Magazines
GCH,0,Aberdeen Greater China Fund Inc.,n/a,n/a
AFG,3,American Financial Group Inc.,Finance,Property-Casualty Insurers
AFA,-1,American Financial Group Inc.,Finance,Property-Casualty Insurers
ORLY,1,O&#39;Reilly Automotive Inc.,Consumer Services,Other Specialty Stores
AFC,-1,Ares Capital Corporation,n/a,n/a
W,4,Wayfair Inc.,Consumer Services,Catalog/Specialty Distribution
GCV,0,Gabelli Convertible and Income Securities Fund Inc. (The),n/a,n/a
AFT,-1,Apollo Senior Floating Rate Fund Inc.,n/a,n/a
AFW,-1,American Financial Group Inc.,Finance,Property-Casualty Insurers
AFQ,-1,American Financial Group Inc.,Finance,Property-Casualty Insurers
BTU,4,Peabody Energy Corporation,Energy,Coal Mining
BTT,0,BlackRock Municipal Target Term Trust Inc. (The),n/a,n/a
PROV,3,Provident Financial Holdings Inc.,Finance,Savings Institutions
CBAN,0,Colony Bankcorp Inc.,Finance,Major Banks
BTX,0,BioTime Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CBAK,0,China BAK Battery Inc.,Miscellaneous,Industrial Machinery/Components
BTE,5,Baytex Energy Corp,Energy,Oil & Gas Production
BTG,5,B2Gold Corp,Basic Industries,Precious Metals
BTF,0,Boulder Total Return Fund Inc.,n/a,n/a
BTA,0,BlackRock Long-Term Municipal Advantage Trust,n/a,n/a
TIME,1,Time Inc.,Consumer Services,Newspapers/Magazines
BTO,0,John Hancock Financial Opportunities Fund,n/a,n/a
BTN,0,Ballantyne Strong Inc,Miscellaneous,Industrial Machinery/Components
BTI,4,British American Tobacco p.l.c.,Consumer Non-Durables,Farming/Seeds/Milling
CBAY,3,Cymabay Therapeutics Inc.,Health Care,Major Pharmaceuticals
CNET,0,ChinaNet Online Holdings Inc.,Technology,Advertising
ONCY,2,Oncolytics Biotech Inc.,Health Care,Major Pharmaceuticals
IPHS,3,Innophos Holdings Inc.,Consumer Durables,Specialty Chemicals
FMSA,5,FMSA Holdings Inc.,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
EVDY,3,Everyday Health Inc.,Miscellaneous,Business Services
LGND,4,Ligand Pharmaceuticals Incorporated,Health Care,Major Pharmaceuticals
IPHI,3,Inphi Corporation,Technology,Semiconductors
AREX,3,Approach Resources Inc.,Energy,Oil & Gas Production
WAIR,4,Wesco Aircraft Holdings Inc.,Capital Goods,Wholesale Distributors
ASH,2,Ashland Inc.,Consumer Durables,Specialty Chemicals
IKNX,0,Ikonics Corporation,Miscellaneous,Industrial Machinery/Components
GMED,3,Globus Medical Inc.,Health Care,Medical/Dental Instruments
CPGI,0,China Shengda Packaging Group Inc.,Consumer Durables,Containers/Packaging
HOVNP,-1,Hovnanian Enterprises Inc,Capital Goods,Homebuilding
YDIV,0,First Trust International Multi-Asset Diversified Income Index,n/a,n/a
SWH,0,Stanley Black & Decker Inc.,Capital Goods,Industrial Machinery/Components
VGIT,3,Vanguard Intermediate -Term Government Bond ETF,n/a,n/a
WYNN,5,Wynn Resorts Limited,Consumer Services,Hotels/Resorts
SWK,4,Stanley Black & Decker Inc.,Capital Goods,Industrial Machinery/Components
NPTN,3,NeoPhotonics Corporation,Technology,Semiconductors
MMYT,2,MakeMyTrip Limited,Consumer Services,Transportation Services
CAMP,3,CalAmp Corp.,Technology,Radio And Television Broadcasting And Communications Equipment
BKMU,4,Bank Mutual Corporation,Finance,Savings Institutions
CAMB,-1,CAMBRIDGE CAPITAL ACQUISITION CORPORATION,Finance,Business Services
SPWH,3,Sportsman&#39;s Warehouse Holdings Inc.,Consumer Services,Other Specialty Stores
VASC,2,Vascular Solutions Inc.,Health Care,Medical/Dental Instruments
CWT,3,California Water  Service Group Holding,Public Utilities,Water Supply
SPWR,5,SunPower Corporation,Technology,Semiconductors
GLYC,3,GlycoMimetics Inc.,Health Care,Major Pharmaceuticals
ABRN,-1,Arbor Realty Trust,Consumer Services,Real Estate Investment Trusts
MOCO,0,MOCON Inc.,Capital Goods,Industrial Machinery/Components
NICE,3,NICE-Systems Limited,Technology,Computer Manufacturing
ENTA,3,Enanta Pharmaceuticals Inc.,Health Care,Major Pharmaceuticals
SKUL,1,Skullcandy Inc.,Consumer Non-Durables,Consumer Electronics/Appliances
ENTG,3,Entegris Inc.,Consumer Non-Durables,Plastic Products
SRCE,3,1st Source Corporation,Finance,Major Banks
AAPL,2,Apple Inc.,Technology,Computer Manufacturing
SRCL,3,Stericycle Inc.,Basic Industries,Environmental Services
ENTR,3,Entropic Communications Inc.,Technology,Semiconductors
ZFC,3,ZAIS Financial Corp.,Consumer Services,Real Estate Investment Trusts
CDNS,3,Cadence Design Systems Inc.,Technology,Computer Software: Prepackaged Software
CDNA,3,CareDx Inc.,Health Care,Medical Specialities
SIGA,0,SIGA Technologies Inc.,Health Care,Major Pharmaceuticals
WEA,-1,Western Asset Bond Fund,n/a,n/a
SIGI,2,Selective Insurance Group Inc.,Finance,Property-Casualty Insurers
